trial,stim_angle
1,0
2,0
3,0
4,90
5,0
6,0
7,0
8,90
9,90
10,0
11,90
12,90
13,0
14,0
15,0
16,90
17,90
18,90
19,0
20,90
21,90
22,0
23,0
24,0
25,90
26,90
27,0
28,0
29,90
30,90
31,90
32,90
33,90
34,0
35,90
36,90
37,0
38,0
39,0
40,0
41,90
42,90
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,90
51,90
52,0
53,90
54,0
55,90
56,90
57,0
58,0
59,90
60,0
61,0
62,0
63,0
64,90
65,90
66,90
67,0
68,0
69,90
70,0
71,90
72,0
73,0
74,90
75,90
76,0
77,90
78,90
79,0
80,0
81,90
82,0
83,90
84,0
85,90
86,0
87,90
88,90
89,90
90,90
91,0
92,90
93,90
94,0
95,90
96,0
97,0
98,0
99,90
100,90
101,0
102,0
103,0
104,90
105,90
106,0
107,90
108,90
109,90
110,0
111,90
112,0
113,0
114,0
115,90
116,0
117,90
118,90
119,90
120,90
121,0
122,0
123,0
124,90
125,90
126,90
127,0
128,90
129,90
130,0
131,0
132,90
133,0
134,90
135,90
136,0
137,0
138,90
139,90
140,0
141,0
142,0
143,0
144,0
145,0
146,90
147,90
148,0
149,90
150,90
151,0
152,90
153,0
154,90
155,90
156,0
157,0
158,0
159,0
160,90
161,0
162,90
163,0
164,90
165,90
166,90
167,0
168,90
169,90
170,0
171,0
172,0
173,0
174,90
175,0
176,0
177,90
178,90
179,0
180,0
181,0
182,90
183,0
184,90
185,90
186,90
187,90
188,0
189,0
190,90
191,90
192,90
193,0
194,90
195,90
196,90
197,0
198,90
199,90
200,90
201,90
202,90
203,90
204,0
205,90
206,0
207,0
208,90
209,90
210,0
211,90
212,0
213,90
214,90
215,90
216,90
217,90
218,90
219,0
220,90
221,0
222,90
223,0
224,90
225,90
226,90
227,0
228,0
229,90
230,0
231,90
232,0
233,90
234,90
235,0
236,0
237,0
238,0
239,0
240,90
241,90
242,90
243,0
244,90
245,0
246,0
247,0
248,90
249,0
250,0
251,0
252,0
253,0
254,0
255,90
256,90
257,0
258,0
259,90
260,90
261,90
262,0
263,90
264,90
265,0
266,90
267,0
268,90
269,90
270,0
271,90
272,90
273,90
274,90
275,0
276,0
277,90
278,0
279,0
